O3,RH,WSP,TMP
34.9,59.1,1.7,11.6
22.6,57.2,1.5,11.7
26.6,53.7,1.6,12.5
18.1,53.3,1.5,11.9
19.6,49.6,1.6,12.5
27.8,47.4,2.3,12.4
25.8,47.9,2.1,11.3
22.9,52.1,2.1,9.9
22.9,39.5,1.6,9.8
20.8,34.1,1.8,10.9
28.9,42.0,2.1,11.4
25.8,42.4,2.0,11.0
20.8,39.4,1.9,10.6
16.0,60.5,1.8,8.1
20.2,45.8,1.8976342056280917,9.2
26.5,32.4,2.0,10.8
24.9,34.8,1.9,10.5
28.9,44.2,1.9,10.7
30.7,51.2,1.8,10.4
23.6,46.0,1.8,10.8
22.4,42.7,2.0,11.1
30.2,35.9,2.0,12.3
34.7,37.7,1.8,12.2
27.8,36.8,1.6,11.7
37.6,50.3,2.0,11.2
31.8,52.6,1.9,11.0
27.2,48.7,1.8,11.9
25.4,43.3,2.1,11.8
25.6,50.3,1.8,9.3
19.2,65.9,1.8976342056280917,8.0
25.3,48.8,1.7,11.3
27.1,54.4,1.8976342056280917,12.2
26.6,47.5,1.8,12.8
24.4,48.0,1.8,12.8
24.4,45.0,1.7,12.3
29.9,48.9,1.7,12.8
32.3,51.5,1.6,11.9
39.4,44.1,1.7,13.1
36.5,40.8,1.9,12.3
29.7,35.0,2.0,12.6
27.6,42.4,2.0,11.0
23.1,54.6,1.8976342056280917,10.2
20.8,51.8,1.8,10.3
29.2,40.5,1.8,12.2
32.4,42.4,1.8,12.2
29.0,45.3,1.8,11.8
38.2,45.0,2.1,12.7
33.9,35.9,1.9,13.2
33.8,35.7,2.0,13.0
31.7,33.0,2.4,12.8
33.1,30.4,1.9,12.5
33.3,36.8,1.9,12.9
29.7,48.4,1.8976342056280917,12.6
39.1,47.8,1.8976342056280917,13.2
41.5,46.8,1.8,13.6
34.7,45.8,2.1,13.6
35.6,37.8,2.0,13.7
34.3,45.2,1.8,13.4
38.8,46.7,1.7,13.9
32.4,52.5,1.7,13.5
37.7,49.2,1.8,13.8
35.4,44.9,1.8,14.9
33.7,54.4,2.2,13.8
29.5,56.4,2.0,12.7
24.2,56.2,2.0,11.9
32.1,50.7,1.8976342056280917,12.9
32.6,49.6,1.8976342056280917,12.9
35.7,46.1,1.8976342056280917,13.2
37.3,51.3,1.8976342056280917,12.2
35.9,54.6,1.8976342056280917,11.8
29.9,52.6,1.8976342056280917,12.5
34.7,49.7,1.8976342056280917,12.7
40.5,43.5,2.9,12.7
35.1,50.5,2.2,11.7
39.0,47.8,2.0,12.9
43.7,44.2,2.1,13.3
40.3,50.2,1.8,13.5
39.6,46.6,1.9,13.7
38.0,41.1,1.9,14.5
35.3,38.0,2.0,14.3
35.9,40.6,2.2,14.3
29.0,34.0,2.4,14.8
27.6,40.6,2.1,13.7
28.5,48.6,2.3,12.5
22.7,43.4,2.0,13.3
26.7,38.9,1.8976342056280917,14.7
25.0,37.3,2.3,15.2
28.5,37.4,2.0,15.6
33.5,43.0,2.3,15.5
33.4,35.5,2.3,15.9
35.8,30.7,2.4,16.7
30.6,34.4,2.4,16.0
35.2,37.1,2.2,14.9
32.5,33.0,2.0,15.1
34.4,26.7,2.3,16.3
31.1,32.1,2.6,16.1
29.4,27.7,2.4,16.4
30.2,34.3,2.2,15.8
41.3,40.0,2.2,16.1
41.9,52.7,1.9,14.7
39.7,42.2,2.2,15.6
43.0,33.2,1.9,16.3
44.3,35.4,2.1,16.5
43.1,46.0,1.8,15.1
43.0,51.6,2.0,14.5
39.5,51.7,1.9,13.9
40.8,43.6,2.4,15.2
36.6,46.8,2.4,15.0
34.8,39.0,1.8976342056280917,16.0
32.1,43.8,1.8976342056280917,15.3
34.9,39.0,2.2,15.2
39.0,40.1,1.8976342056280917,15.2
43.0,41.7,2.0,14.6
39.2,47.4,2.4,14.0
40.2,47.9,2.1,14.6
35.9,53.8,1.9,14.5
37.4,48.6,2.1,15.1
37.8,59.4,1.6,13.4
30.3,57.1,1.9,14.2
36.5,47.3,2.3,14.8
42.8,35.2,2.4,16.0
42.6,37.6,2.1,16.2
37.7,35.6,2.1,16.8
38.6,31.9,2.6,17.6
33.6,32.7,2.3,17.2
38.7,40.3,1.8976342056280917,14.8
43.9,51.0,1.8976342056280917,13.4
42.3,49.0,1.8976342056280917,14.0
42.5,51.7,1.8976342056280917,13.9
42.9,59.2,1.8976342056280917,13.8
34.0,59.8,2.0,14.5
39.2,52.7,2.1,15.2
36.2,50.9,2.0,15.3
32.8,56.5,1.7,14.8
44.9,48.3,2.1,15.6
44.5,50.5,2.1,15.7
47.9,53.3,2.2,15.7
42.9,59.4,1.8,15.1
46.5,54.9,2.0,15.4
42.4,51.4,2.1,15.7
47.0,52.0,2.0,16.3
39.9,55.7,2.2,16.4
43.7,47.7,2.1,17.1
49.7,47.2,2.2,17.4
41.4,48.7,2.0,17.5
47.5,47.4,2.1,17.5
51.4,46.5,2.1,17.1
50.4,50.4,2.0,17.4
45.0,48.3,1.9,17.9
46.9,51.3,2.4,17.4
46.7,52.3,2.3,16.6
41.4,46.1,2.2,16.6
48.7,41.3,2.1,17.4
40.7,51.9,2.0,16.3
38.7,46.1,2.3,16.9
39.3,48.8,2.3,16.7
32.7,46.5,2.3,17.1
30.0,49.9,2.4,16.2
39.9,58.8,2.3,15.8
37.0,57.3,2.4,15.8
38.4,55.3,2.4,15.6
38.9,49.1,2.0,16.3
45.1,52.0,1.9,15.8
43.3,59.9,2.0,15.1
37.5,62.8,2.0,14.8
36.4,61.0,1.8976342056280917,14.8
38.9,60.6,1.8,15.1
42.3,58.3,1.8,15.4
37.8,61.5,1.8976342056280917,15.2
32.3,68.1,1.7,14.6
32.2,72.3,1.6,13.9
26.2,77.5,1.8,13.7
30.4,70.8,1.7,14.1
27.6,66.8,1.8,14.9
26.8,60.7,1.9,15.5
28.3,63.5,1.7,14.6
30.2,63.6,1.9,14.6
34.0,54.3,2.6,14.2
26.9,62.1,2.2,13.8
24.1,67.1,1.9,14.2
26.7,60.3,2.3,14.5
37.2,59.5,2.2,14.7
33.6,65.6,1.9,13.7
26.3,73.2,1.6,13.5
25.2,74.9,1.4,13.4
30.4,72.6,1.9,13.9
29.1,73.4,1.7,13.7
28.4,70.9,1.8,13.4
33.8,69.3,1.7,13.7
34.3,69.4,1.6,13.6
29.0,71.6,1.6,13.7
28.3,70.7,1.6,13.7
31.3,66.2,1.8,14.0
33.8,65.5,2.2,13.7
32.0,67.5,2.2,13.0
31.1,70.8,2.0,12.9
25.4,75.3,1.6,13.1
30.3,70.7,1.5,13.3
25.5,72.8,1.7,13.2
26.2,72.7,1.5,13.2
22.0,77.0,1.5,12.6
19.9,73.1,1.5,12.9
28.1,71.4,1.7,12.9
26.7,71.1,1.8,13.1
30.5,62.8,1.7,13.9
30.4,63.1,1.8,14.0
34.5,66.2,1.7,13.6
35.9,66.2,1.8,13.7
32.5,66.6,2.2,14.2
29.8,68.9,2.2,13.6
32.7,64.0,2.6,13.9
35.5,66.6,1.7,14.0
29.8,66.2,1.9,14.3
27.7,62.8,1.9,14.6
33.2,62.1,1.7,14.4
30.5,65.6,1.7,14.3
33.2,66.8,1.8,13.8
35.7,67.8,1.9,13.7
30.2,61.2,1.9,14.4
36.7,59.9,1.8,15.0
33.3,60.3,1.9,14.4
34.1,64.8,2.0,14.2
30.9,68.2,2.3,14.1
29.4,70.3,1.9,14.0
29.6,76.5,1.6,12.9
32.1,72.3,1.8,13.5
28.4,68.5,2.3,14.3
21.6,72.9,2.1,13.8
26.6,69.2,1.7,14.4
27.0,66.8,2.0,14.4
20.3,75.4,2.0,13.1
29.5,75.6,1.7,13.2
27.4,72.8,1.8976342056280917,13.6
32.9,70.1,1.7,13.6
31.8,64.8,1.9,14.0
32.1,60.6,1.7,15.0
35.6,63.3,1.9,14.9
28.9,63.5,2.0,14.8
29.0,70.0,1.9,13.7
30.2,69.2,1.8976342056280917,14.4
29.7,65.4,1.8976342056280917,14.9
28.8,67.8,1.8976342056280917,14.2
29.1,71.2,1.8976342056280917,13.6
28.4,68.2,1.8976342056280917,13.7
25.0,68.9,1.8976342056280917,13.6
27.5,66.3,1.8976342056280917,13.6
25.1,70.0,1.8976342056280917,13.6
28.0,68.5,1.8976342056280917,13.5
29.4,68.0,1.8976342056280917,13.8
25.0,69.5,1.8976342056280917,13.7
23.9,72.2,1.8976342056280917,13.5
27.3,69.6,1.8976342056280917,14.1
23.5,65.9,1.8976342056280917,14.0
24.2,62.2,1.8976342056280917,14.5
24.3,61.6,1.8976342056280917,15.1
26.3,65.9,1.8976342056280917,14.6
24.8,67.8,1.8976342056280917,14.7
24.8,68.8,1.8976342056280917,14.3
20.7,72.3,1.8976342056280917,13.3
17.6,73.2,1.8976342056280917,13.5
22.6,71.1,1.8976342056280917,13.7
32.0,71.6,1.8976342056280917,13.2
27.9,69.7,1.8976342056280917,13.5
27.4,67.1,1.8976342056280917,13.8
31.4,62.1,1.8976342056280917,13.8
30.5,60.9,1.8976342056280917,13.7
30.8,64.8,1.8976342056280917,13.7
26.7,63.4,1.8976342056280917,14.7
25.0,58.3,1.8976342056280917,14.6
32.0,58.7,1.8976342056280917,14.6
26.2,69.6,1.8976342056280917,14.4
26.1,72.8,1.8976342056280917,13.7
27.4,71.5,1.8976342056280917,14.1
30.4,66.9,1.8976342056280917,15.1
24.5,68.7,1.8976342056280917,14.2
24.1,72.2,1.8976342056280917,14.2
21.1,73.7,1.8976342056280917,13.1
19.3,72.9,1.8976342056280917,13.2
22.1,73.2,1.8976342056280917,13.6
26.1,74.0,1.8976342056280917,13.8
29.9,70.2,1.8976342056280917,14.2
24.2,71.9,1.8976342056280917,13.7
19.1,77.5,1.8976342056280917,12.9
17.7,81.9,1.8976342056280917,12.5
22.9,77.1,1.8976342056280917,13.0
22.8,73.8,2.1,13.2
23.7,73.7,2.4,13.1
22.3,73.6,2.4,13.2
23.3,73.6,2.4,13.6
26.7,67.5,2.1,14.3
24.3,62.4,2.0,14.1
27.2,58.9,1.8,14.1
26.2,64.7,1.8,14.0
23.7,65.0,2.3,14.0
25.6,71.1,2.2,13.5
27.0,75.6,2.3,12.2
23.8,74.0,2.2,12.5
21.2,73.5,2.0,13.0
21.9,70.3,2.2,13.6
22.2,67.8,1.7,13.4
21.4,69.7,2.1,13.5
26.3,68.2,2.1,12.6
20.3,72.0,2.0,12.2
21.7,66.9,2.0,13.3
23.6,63.1,1.9,13.9
25.2,60.3,2.1,13.9
24.8,64.3,2.3,13.3
21.0,63.2,2.6,12.7
20.5,66.6,2.0,12.3
28.4,65.7,2.3,12.8
30.2,64.4,1.8976342056280917,12.5
26.9,61.3,1.9,13.0
26.2,59.2,2.2,12.6
25.8,66.6,2.2,11.4
25.8,67.5,1.9,11.2
26.7,67.0,1.8,12.1
26.7,67.1,1.6,12.7
21.6,70.0,1.8976342056280917,12.6
19.8,65.4,1.5,13.2
18.8,60.5,1.6,13.3
18.0,63.1,1.8,12.3
16.5,63.6,1.9,12.2
16.9,58.4,1.8,12.8
23.3,55.3,1.4,14.0
24.5,46.2,1.8,14.6
21.8,49.2,1.7,14.2
24.4,64.4,1.8,12.4
19.6,72.8,1.7,11.7
19.4,70.1,1.4,12.1
17.4,69.3,1.8,11.7
18.5,67.7,2.2,10.9
14.5,75.3,1.8976342056280917,9.0
21.6,59.1,1.5,11.1
22.0,55.5,1.8,11.5
20.8,60.4,1.5,11.2
24.3,48.8,1.6,12.2
27.7,53.5,2.1,12.0
26.4,61.1,1.9,11.1
26.0,57.9,1.8,11.4
28.0,52.9,1.9,11.6
29.0,52.0,1.7,11.4
26.0,47.3,1.8,12.0
30.8,51.9,1.9,11.9
21.5,49.2,1.6,11.2
18.2,58.0,1.7,9.7
17.6,59.3,1.3,10.2
22.4,46.9,1.9,11.7
14.0,59.5,1.9,11.5
15.3,50.5,2.1,12.1
20.0,47.1,1.7,12.6
21.9,52.0,1.8976342056280917,13.1
24.4,54.8,1.8976342056280917,12.4
23.9,52.3,1.7,13.5
17.5,52.4,2.1,12.6
18.8,49.6,1.8,12.5
18.1,47.3,2.1,13.2
17.5,48.3,2.1,12.8
27.5,54.3,1.7,11.1
19.8,59.0,1.8,9.6
19.3,54.1,1.6,9.8
22.9,49.3,1.5,11.0
22.5,45.7,1.8976342056280917,11.4
24.6,42.9,1.7,12.3
18.7,44.2,1.8976342056280917,10.9
19.5,54.8,1.8976342056280917,11.4
