O3,RH,WSP,TMP
30.1,57.2,1.4,13.6
22.0,57.2,1.3,14.6
20.2,58.4,1.7,14.5
12.7,58.6,1.8,14.2
18.7,58.0,1.7,14.6
20.1,57.6,1.6,14.0
20.4,58.3,1.2,14.4
16.5,57.2,1.3,14.1
17.3,57.5,1.5,14.6
18.1,57.7,1.5,14.7
19.0,58.0,1.6,14.5
20.0,57.4,1.7,14.9
17.4,58.0,1.4,14.6
16.3,57.5,1.2,14.4
19.3,56.6,1.6,14.3
22.5,56.2,1.5,14.5
19.8,56.6,1.8,14.7
25.3,56.9,1.7,14.5
27.1,57.1,1.5,14.8
22.8,57.7,1.3,14.3
22.5,56.7,1.5,14.6
23.5,56.7,1.3,13.8
27.5,57.0,1.3,14.3
26.9,58.2,1.4,14.3
27.6,57.2,1.5,14.5
22.9,57.1,1.7,14.1
22.4,57.9,1.5,14.5
25.4,56.6,1.2,14.3
20.9,57.7,1.4,14.0
18.1,57.6,1.5,14.6
20.4,56.5,1.5,14.4
21.4,56.5,1.5,14.8
22.2,58.6,1.5,14.0
23.3,58.3,1.2,14.8
21.7,56.4,1.3,14.0
27.7,56.5,1.3,15.1
29.3,58.3,1.5,14.2
35.0,57.4,1.6,14.0
29.2,56.5,1.4,13.8
30.1,56.2,1.3,15.0
23.9,57.5,1.4,13.8
17.9,57.7,1.6,14.2
19.1,57.5,1.4,14.0
27.8,57.4,1.3,14.5
29.3,57.1,1.5,14.8
29.0,57.6,1.6,15.1
26.2,57.8,1.2,14.3
26.8,58.3,1.6,14.7
30.5,57.8,1.6,14.3
25.0,57.0,1.001,15.0
28.1,58.2,1.7,15.1
29.9,58.8,1.4,14.2
27.9,57.4,1.4,14.0
34.7,57.4,1.3,13.9
29.9,57.0,1.6,14.2
25.7,56.3,1.5,14.3
27.3,57.5,1.4,14.1
32.2,56.7,1.3,14.5
35.2,57.0,1.3,14.7
28.7,57.7,1.5,14.4
31.4,56.8,1.4,14.7
31.8,56.4,1.6,14.2
31.5,57.4,1.3,14.5
27.5,58.3,1.4,14.2
17.5,58.4,1.3,14.5
29.3,58.2,1.2,13.6
28.2,58.6,1.5,14.5
29.2,58.2,1.6,14.6
26.9,57.3,1.4,14.4
31.8,56.0,1.3,14.8
25.4,57.4,1.5,14.5
28.3,57.7,1.2,15.0
36.1,57.0,1.6,14.3
32.0,58.0,1.4,14.8
31.3,58.1,1.4,14.3
33.3,57.4,1.4,14.0
25.9,57.3,1.5,15.1
28.6,57.1,1.5,13.4
28.3,58.4,1.7,14.2
29.8,56.2,1.5,14.6
30.4,57.5,1.2,14.6
24.2,58.2,1.3,14.3
24.8,58.3,1.1,14.5
21.5,58.4,1.5,14.6
21.5,57.9,1.4,14.6
24.8,57.0,1.2,14.7
23.8,56.9,1.3,14.7
25.7,57.2,1.7,14.4
32.8,58.9,1.4,14.2
31.1,56.5,1.5,14.0
28.4,57.4,1.4,13.7
27.4,57.7,1.4,14.3
24.5,57.5,1.5,14.6
26.3,56.8,1.6,14.4
29.4,56.7,1.3,14.3
26.0,57.2,1.1,14.3
26.2,58.0,1.5,13.5
29.0,58.2,1.7,14.8
33.5,57.4,1.4,14.2
31.7,57.0,1.3,13.6
30.3,57.5,1.2,14.5
32.1,58.0,1.4,14.5
32.6,57.0,1.5,14.6
30.9,58.2,1.5,14.7
27.9,57.4,1.4,14.1
25.1,58.8,1.2,14.8
26.2,56.8,1.2,14.5
25.0,55.4,1.3,14.1
26.1,57.6,1.3,14.4
22.7,58.2,1.5,14.4
24.9,57.6,1.001,14.4
24.0,57.4,1.5,14.3
33.3,56.3,1.5,14.7
26.1,58.1,1.2,14.3
28.1,56.5,1.6,14.1
23.3,57.1,1.2,14.4
29.5,56.5,1.7,14.4
26.9,57.0,1.5,14.3
25.2,57.8,1.2,15.0
31.4,58.1,1.3,14.3
31.9,56.9,1.4,15.1
28.2,56.4,1.2,14.4
25.5,58.0,1.5,14.1
27.7,58.3,1.2,14.6
25.8,58.7,1.4,13.7
31.7,56.5,1.2,14.0
28.8,58.2,1.7,14.4
24.9,58.1,1.7,14.1
35.4,56.9,1.4,14.8
31.3,58.2,1.6,14.6
28.1,57.5,1.4,15.0
33.2,58.0,1.4,14.8
33.2,58.3,1.5,14.6
23.9,56.4,1.3,14.7
36.2,58.8,1.2,13.7
41.7,56.9,1.1,14.7
