O3,RH,WSP,TMP
28.0,54.4,1.8,14.6
19.8,52.0,1.6,14.6
17.0,48.2,1.5,15.5
17.9,54.0,1.8,14.0
21.3,49.5,1.4,15.1
22.0,45.5,1.6,15.3
21.0,44.1,1.7,14.3
16.1,48.9,2.0,12.7
15.0,49.6,1.8,11.7
14.4,37.3,2.51437483206876,13.4
20.9,41.8,1.4,14.0
21.8,40.4,1.7,14.1
17.9,38.9,1.7,13.5
14.3,58.3,2.0,11.0
17.1,49.9,1.9,12.0
19.4,38.7,1.6,13.3
17.6,38.5,1.7,13.0
22.7,43.1,1.8,13.4
23.2,48.9,1.8,13.2
19.8,44.5,1.5,13.8
21.0,41.7,1.7,14.6
20.0,38.2,1.7,15.1
25.5,38.3,1.9,14.9
25.8,39.3,1.8,14.2
25.1,43.7,2.51437483206876,14.0
23.8,43.9,2.51437483206876,16.2
20.7,44.6,2.51437483206876,15.2
20.8,43.5,2.51437483206876,14.8
18.0,46.7,2.51437483206876,12.7
15.6,57.0,2.4,11.0
20.4,46.0,1.9,10.5
17.8,47.2,1.6,13.1
18.0,44.7,1.4,14.9
18.5,40.7,1.8,16.2
19.1,43.6,1.9,15.4
23.7,47.9,2.51437483206876,15.3
27.3,48.3,2.0,14.4
32.1,42.2,1.6,16.3
26.3,40.6,2.0,15.3
24.4,39.0,2.51437483206876,15.2
21.7,39.1,2.51437483206876,14.3
15.7,50.9,2.5,13.2
19.1,50.2,1.8,13.4
24.3,42.5,1.8,15.1
25.1,40.9,2.1,15.4
25.1,44.3,2.1,14.6
26.0,43.2,1.9,15.6
24.9,38.3,2.51437483206876,15.9
29.1,34.6,2.7,16.2
21.2,32.8,2.6,16.1
28.2,33.5,1.9,15.4
27.3,39.1,1.7,15.9
24.9,44.1,2.3,16.5
32.3,43.7,1.7,16.3
27.2,42.0,2.51437483206876,16.6
26.2,41.6,1.9,17.0
25.4,36.1,1.9,17.1
29.5,42.5,1.9,16.2
30.7,42.3,1.9,17.4
26.0,43.6,2.51437483206876,17.3
30.3,43.5,2.51437483206876,17.3
32.3,39.1,1.7,18.4
31.6,46.6,2.7,17.7
25.6,51.7,2.5,16.0
17.8,57.3,2.51437483206876,15.4
22.7,52.1,2.51437483206876,15.9
23.0,45.3,2.3,16.0
24.1,40.1,2.1,17.1
27.1,45.2,2.3,16.4
29.6,50.0,2.2,16.3
25.5,53.1,2.51437483206876,15.9
27.9,52.3,2.51437483206876,15.2
35.5,41.3,3.3,16.1
32.0,45.8,2.51437483206876,15.3
30.4,48.3,1.7,15.6
30.2,45.6,1.7,15.8
26.1,52.3,1.7,16.1
25.4,48.2,1.5,16.5
23.7,40.8,1.7,17.4
28.2,39.3,1.9,17.6
29.4,38.3,1.9,17.6
22.6,35.0,2.0,18.0
24.6,40.9,2.4,17.1
23.0,41.7,2.6,16.0
19.5,43.2,2.2,16.1
23.4,34.6,1.9,18.0
21.8,33.6,2.3,18.7
24.1,36.6,2.0,18.9
29.2,40.2,2.2,19.0
28.5,33.2,2.1,19.5
30.1,29.6,2.5,20.1
27.6,30.9,2.4,19.7
29.0,32.4,2.51437483206876,18.4
25.0,37.8,2.51437483206876,16.0
25.8,34.8,2.51437483206876,17.1
28.0,25.5,2.6,20.1
27.7,27.6,2.2,19.9
24.1,36.8,2.2,18.7
37.0,38.0,2.2,19.2
34.0,47.0,2.51437483206876,18.3
32.9,41.4,1.9,18.5
34.6,30.4,2.0,19.7
36.7,32.9,2.0,20.2
36.9,42.9,2.0,18.6
33.5,48.2,2.3,17.9
30.5,46.7,2.2,17.5
29.8,41.1,2.0,18.4
26.4,38.7,2.2,18.8
25.6,45.4,2.5,18.8
28.3,34.6,2.1,19.0
30.5,33.6,2.3,19.0
32.8,33.8,2.1,19.0
29.6,38.0,2.3,18.2
29.6,44.8,2.4,17.4
30.8,45.8,2.1,17.6
31.8,51.0,1.9,17.6
32.9,48.3,2.2,18.0
31.5,55.8,2.0,16.8
26.5,53.8,1.8,17.4
27.7,43.2,2.3,18.6
34.0,37.4,1.9,19.3
33.5,37.6,1.9,19.4
29.0,37.7,2.2,19.8
30.4,35.6,2.3,20.5
26.6,30.8,2.1,20.5
30.3,29.7,2.0,20.1
30.2,37.6,1.9,19.1
27.5,35.2,1.5,20.3
35.4,49.1,1.8,19.4
31.4,58.7,2.0,17.9
26.5,55.3,2.51437483206876,17.7
29.6,42.8,2.0,18.8
31.3,45.4,2.3,18.8
22.8,52.2,1.9,18.1
36.3,46.8,2.0,18.9
40.8,46.2,2.51437483206876,18.1
42.6,52.3,2.51437483206876,17.0
40.9,56.2,1.9,18.0
40.4,49.2,2.2,18.1
34.4,46.0,2.3,18.8
40.8,44.2,2.51437483206876,19.5
35.1,45.2,2.51437483206876,18.4
36.2,43.8,2.51437483206876,18.6
42.0,40.8,2.51437483206876,18.9
40.6,46.8,2.51437483206876,20.1
42.0,45.7,2.51437483206876,20.2
39.7,48.2,2.51437483206876,19.8
39.0,53.0,2.51437483206876,19.7
45.6,48.4,2.51437483206876,20.2
39.8,46.6,2.51437483206876,20.5
33.5,50.4,2.51437483206876,19.2
30.9,51.5,2.51437483206876,18.6
37.7,36.4,2.51437483206876,20.3
37.1,47.6,2.51437483206876,19.0
30.5,45.8,2.51437483206876,19.3
28.2,47.1,2.51437483206876,18.6
25.4,45.3,2.51437483206876,19.5
21.8,50.8,2.51437483206876,18.6
29.4,56.1,2.51437483206876,18.5
31.0,53.4,2.51437483206876,19.1
30.8,49.8,2.51437483206876,19.1
33.0,45.8,2.51437483206876,19.7
42.8,46.7,2.51437483206876,19.4
37.3,54.0,2.51437483206876,18.7
35.2,55.9,2.51437483206876,18.0
32.4,56.5,2.51437483206876,18.3
30.9,57.1,2.51437483206876,18.2
39.2,55.9,2.51437483206876,18.8
34.2,59.9,2.51437483206876,18.6
20.8,68.6,2.51437483206876,16.5
25.5,66.5,2.51437483206876,17.3
19.7,71.2,1.9,17.0
24.2,64.4,2.51437483206876,17.4
22.5,60.6,2.1,18.3
26.0,53.2,2.1,19.2
23.7,56.6,2.1,18.2
25.2,55.7,2.2,17.9
26.1,49.5,2.8,17.8
20.9,54.8,2.51437483206876,17.1
17.8,62.6,2.1,17.3
22.8,51.3,2.6,18.5
29.4,53.6,2.3,18.5
26.9,58.0,2.1,17.3
24.0,63.3,1.8,17.4
20.8,69.1,1.9,17.0
24.4,67.5,1.9,17.2
23.4,67.1,2.1,17.2
22.6,62.7,2.1,17.2
24.7,64.5,1.9,16.9
27.9,62.0,1.9,17.4
22.9,65.3,2.51437483206876,17.0
25.5,63.1,2.2,17.4
27.0,61.6,2.0,17.4
24.2,60.4,2.3,17.3
22.9,59.7,2.6,16.7
23.0,61.5,2.2,16.7
17.0,68.4,1.9,16.7
20.6,68.0,1.6,16.6
20.0,65.0,2.0,16.8
21.2,66.4,1.9,16.5
18.1,70.5,1.7,16.3
15.2,64.1,1.9,16.7
26.1,65.6,2.51437483206876,16.2
19.4,64.5,2.0,16.8
26.5,56.2,2.1,17.7
25.9,58.6,2.0,17.6
25.3,60.2,2.1,17.4
27.6,57.2,2.51437483206876,17.3
23.5,53.7,2.51437483206876,16.4
22.7,59.7,2.51437483206876,16.0
27.4,54.3,2.51437483206876,17.8
28.3,61.1,2.0,17.7
25.4,60.9,1.9,17.8
21.9,55.4,2.2,18.2
23.7,58.6,2.0,17.8
24.8,59.3,1.9,17.8
26.9,61.1,2.0,17.6
29.2,60.1,2.0,17.7
27.2,56.0,1.9,18.1
26.9,52.6,2.2,18.8
26.1,56.0,2.4,17.8
20.8,58.5,2.3,17.6
24.3,57.9,2.5,17.9
24.9,58.5,2.3,18.1
20.7,68.5,1.9,16.4
21.2,64.9,2.2,17.0
19.4,60.7,2.4,17.8
14.8,65.7,2.51437483206876,17.4
18.6,64.3,2.0,17.6
22.4,57.2,2.6,18.0
19.2,70.9,2.4,16.0
26.9,65.8,2.51437483206876,14.8
24.0,59.6,2.51437483206876,15.6
25.6,63.1,2.51437483206876,15.5
25.6,61.6,1.6,17.7
30.3,53.2,2.1,18.8
27.5,58.6,2.1,18.3
21.7,57.9,2.51437483206876,18.0
23.9,61.3,2.51437483206876,17.4
22.3,63.7,2.0,17.6
27.2,59.4,2.0,18.4
24.4,58.6,2.2,18.2
23.7,62.5,2.3,17.4
19.2,62.1,2.51437483206876,17.5
20.8,60.9,2.0,17.5
23.6,57.6,2.3,17.5
18.0,65.4,1.8,17.1
23.1,68.4,1.5,16.8
24.0,65.1,1.8,17.2
21.6,67.6,1.9,17.0
15.8,73.0,1.9,16.4
20.9,66.1,2.51437483206876,15.2
15.1,66.8,2.51437483206876,14.9
20.7,64.6,2.51437483206876,15.2
20.8,59.7,2.51437483206876,15.9
24.8,60.5,2.51437483206876,15.6
22.2,61.2,2.51437483206876,15.6
17.9,60.6,2.51437483206876,15.6
15.6,63.7,2.51437483206876,15.4
11.9,64.7,2.51437483206876,15.0
18.8,61.1,2.51437483206876,15.2
24.7,60.7,2.51437483206876,15.3
21.8,60.2,2.51437483206876,17.3
24.4,58.9,2.51437483206876,17.6
26.0,57.7,2.51437483206876,17.3
27.9,59.8,2.51437483206876,16.8
25.2,61.1,2.51437483206876,16.9
20.5,59.1,2.51437483206876,18.2
22.7,55.9,2.51437483206876,18.2
28.1,52.6,2.51437483206876,18.2
24.4,61.4,2.51437483206876,18.1
18.5,66.8,2.51437483206876,17.4
17.7,63.6,2.51437483206876,17.7
21.2,60.5,2.51437483206876,18.4
17.9,59.3,2.51437483206876,18.1
18.6,61.3,2.51437483206876,18.2
15.7,63.6,2.51437483206876,17.1
18.4,64.0,2.51437483206876,17.2
18.6,61.5,2.51437483206876,16.8
16.6,66.8,2.51437483206876,16.2
22.9,68.8,2.51437483206876,17.5
17.9,60.7,2.51437483206876,15.7
15.4,58.6,2.51437483206876,15.6
10.8,64.3,2.51437483206876,14.9
16.2,61.6,2.51437483206876,15.2
15.7,60.0,2.51437483206876,15.4
18.9,59.7,2.51437483206876,15.2
19.6,59.1,2.51437483206876,15.3
19.6,59.4,2.51437483206876,15.5
21.0,56.0,2.51437483206876,15.7
20.5,57.1,2.51437483206876,15.2
22.1,54.3,2.51437483206876,15.3
26.1,58.7,2.51437483206876,17.3
23.5,60.4,2.51437483206876,17.3
18.8,65.0,2.5,16.9
20.1,67.8,2.4,15.6
17.9,63.0,2.4,16.3
16.7,63.2,2.1,16.7
16.2,62.1,2.3,17.2
19.3,58.4,2.3,17.2
17.8,58.1,2.4,17.2
19.2,61.7,2.5,16.1
17.1,62.0,2.5,16.0
16.4,59.5,2.2,17.0
17.8,57.7,2.1,17.3
19.6,53.7,2.4,17.5
18.6,54.6,2.4,17.1
20.1,54.1,2.9,16.5
13.5,60.4,2.51437483206876,15.7
23.3,57.5,2.5,16.3
27.7,54.6,2.6,16.2
27.1,55.3,1.8,16.1
20.5,57.6,2.2,15.7
21.9,57.9,2.5,14.8
22.0,57.4,2.1,15.0
23.3,59.7,1.9,15.8
21.0,62.5,1.7,15.9
18.1,65.6,2.51437483206876,16.0
20.2,61.3,2.51437483206876,15.5
15.8,56.9,2.51437483206876,15.9
12.3,58.4,2.0,15.6
11.1,61.3,2.3,15.6
15.7,53.0,2.1,16.0
20.2,48.4,2.0,17.0
22.4,43.8,2.0,17.5
18.8,48.3,2.2,17.3
20.6,59.6,2.2,15.6
15.4,67.0,2.1,14.8
18.7,63.6,1.8,15.2
15.3,63.1,2.2,15.0
15.4,62.6,2.5,14.1
13.4,69.6,2.0,12.0
15.2,56.4,1.9,14.2
15.9,54.1,1.9,14.5
15.7,60.2,1.5,14.1
18.0,49.0,1.4,15.1
20.6,50.4,1.9,14.8
20.6,55.8,2.1,13.9
21.7,55.9,2.0,14.2
21.5,50.5,1.8,14.6
26.6,50.2,1.6,14.0
23.3,46.3,1.6,14.6
26.0,50.6,1.7,14.9
18.6,49.8,1.7,14.0
15.4,56.0,2.51437483206876,12.9
15.5,56.9,2.0,13.4
20.1,49.4,2.2,14.4
