O3,RH,WSP,TMP
24.2,58.8,0.8588791228978833,17.5
26.8,58.5,0.8588791228978833,17.5
25.3,61.2,0.8588791228978833,17.6
28.1,59.9,0.8588791228978833,17.2
29.3,56.1,0.8588791228978833,17.3
29.5,54.3,0.8588791228978833,17.3
25.8,55.7,0.8588791228978833,16.7
25.9,58.1,0.8588791228978833,16.7
21.3,64.3,0.8588791228978833,16.5
25.8,62.0,0.8588791228978833,16.5
22.9,63.0,0.8588791228978833,16.3
25.9,62.4,0.8588791228978833,16.2
24.0,66.0,0.8588791228978833,16.3
18.1,61.0,0.8588791228978833,17.0
26.2,59.3,0.8588791228978833,16.9
23.1,60.4,0.8588791228978833,16.5
29.9,49.7,0.8588791228978833,17.8
28.9,54.2,0.8588791228978833,17.6
32.1,57.0,0.8588791228978833,17.3
32.3,57.8,0.8588791228978833,17.3
29.4,54.7,0.8588791228978833,17.8
25.8,56.7,0.8588791228978833,17.3
31.6,51.8,0.8588791228978833,17.6
32.9,56.7,0.8588791228978833,17.5
27.6,58.3,0.8588791228978833,17.6
26.1,53.7,0.8588791228978833,18.1
27.3,55.8,0.8588791228978833,17.5
28.1,59.2,0.8588791228978833,17.2
31.5,57.9,0.8588791228978833,17.2
33.7,58.6,0.8588791228978833,17.2
28.5,52.4,0.8588791228978833,17.8
34.3,50.1,0.8588791228978833,18.4
28.2,52.1,0.8588791228978833,17.7
30.0,54.6,0.8588791228978833,17.5
27.9,55.7,0.8588791228978833,17.7
29.2,56.5,0.8588791228978833,17.8
24.4,66.7,0.8588791228978833,16.5
27.1,60.5,0.8588791228978833,17.3
25.3,59.9,0.8588791228978833,17.4
18.0,63.7,0.8588791228978833,17.4
19.3,65.4,0.8588791228978833,16.9
26.9,56.8,0.8588791228978833,18.0
19.2,67.2,0.8588791228978833,16.3
24.0,66.6,0.8588791228978833,16.7
27.6,60.9,0.8588791228978833,17.4
30.1,60.3,0.8588791228978833,17.1
28.8,57.7,0.8588791228978833,17.3
32.0,50.5,0.8588791228978833,18.5
32.1,54.8,0.8588791228978833,18.1
26.1,54.5,0.8588791228978833,18.0
26.6,58.8,0.8588791228978833,17.1
27.4,60.5,0.8588791228978833,17.3
30.3,55.3,0.8588791228978833,18.5
24.5,56.0,0.8588791228978833,18.0
26.4,59.0,0.8588791228978833,17.3
22.6,59.3,0.8588791228978833,17.2
22.9,58.6,0.8588791228978833,16.7
24.2,54.1,0.8588791228978833,17.0
19.7,61.9,0.8588791228978833,16.9
24.1,62.8,0.8588791228978833,16.9
25.7,61.9,0.8588791228978833,17.2
24.4,65.5,0.8588791228978833,16.6
22.0,70.4,0.8588791228978833,16.2
21.1,69.0,0.8588791228978833,16.3
20.0,68.0,0.8588791228978833,16.5
24.3,62.7,0.8588791228978833,17.0
24.5,56.9,0.8588791228978833,18.0
20.9,61.7,0.8588791228978833,17.2
21.7,62.9,0.8588791228978833,17.3
17.5,63.7,0.8588791228978833,17.1
15.4,68.2,0.8588791228978833,16.6
12.6,68.9,0.8588791228978833,16.3
23.8,62.5,0.8588791228978833,16.9
28.9,59.7,0.8588791228978833,16.7
24.6,58.5,0.8588791228978833,17.1
22.3,55.1,0.8588791228978833,17.5
29.2,52.7,0.8588791228978833,17.2
28.2,55.2,0.8588791228978833,16.9
25.8,57.0,0.8588791228978833,17.0
27.2,53.9,0.8588791228978833,18.1
26.3,52.3,0.8588791228978833,17.9
31.0,50.5,0.8588791228978833,17.9
24.7,59.8,0.8588791228978833,17.9
25.0,64.8,0.8588791228978833,16.9
22.8,59.9,0.8588791228978833,17.7
24.8,55.6,0.8588791228978833,18.5
21.2,57.8,0.8588791228978833,17.7
21.5,61.2,0.8588791228978833,17.7
18.5,61.8,0.8588791228978833,16.6
20.8,61.6,0.8588791228978833,17.1
20.0,63.7,0.8588791228978833,17.1
27.1,64.9,0.8588791228978833,17.3
25.8,65.7,0.8588791228978833,17.2
19.7,62.1,0.8588791228978833,17.2
15.5,64.5,0.8588791228978833,16.5
13.5,71.9,0.8588791228978833,15.8
17.6,67.3,0.8588791228978833,16.5
18.9,63.5,0.8588791228978833,16.5
18.9,62.0,0.8588791228978833,16.6
18.5,60.7,0.8588791228978833,16.8
18.8,59.5,0.8588791228978833,17.4
22.9,55.3,0.8588791228978833,17.8
21.1,53.3,0.8588791228978833,17.4
23.7,48.5,0.8588791228978833,17.5
26.1,54.8,0.8588791228978833,17.6
25.4,56.6,0.8588791228978833,17.4
21.9,62.4,0.8588791228978833,16.7
21.7,65.0,0.8588791228978833,15.5
19.8,61.3,0.8588791228978833,16.1
18.9,59.5,0.8588791228978833,16.7
20.7,58.9,0.8588791228978833,17.1
22.9,56.4,0.8588791228978833,17.0
20.9,56.6,0.8588791228978833,17.0
22.5,57.9,0.8588791228978833,16.0
19.0,60.9,0.8588791228978833,15.7
19.3,56.0,0.8588791228978833,16.7
22.4,52.9,0.8588791228978833,17.3
21.7,50.6,0.8588791228978833,17.4
22.1,53.6,0.8588791228978833,16.8
19.5,51.8,0.8588791228978833,16.3
18.5,55.3,0.8588791228978833,15.9
26.7,54.1,0.8588791228978833,16.3
26.0,52.2,0.8588791228978833,16.1
30.5,51.1,0.8588791228978833,16.3
22.7,52.0,0.8588791228978833,15.8
25.2,53.9,0.8588791228978833,14.9
24.6,54.1,0.8588791228978833,15.0
26.9,55.9,0.8588791228978833,15.8
25.0,59.9,0.8588791228978833,15.8
23.6,61.3,0.8588791228978833,16.0
20.4,59.1,0.8588791228978833,16.5
18.0,54.2,1.5,16.4
13.8,56.4,1.8,15.4
15.3,55.9,1.9,15.7
15.4,49.5,0.8588791228978833,16.0
25.3,47.1,1.6,17.0
23.3,40.3,1.7,17.6
17.0,42.4,1.7,17.3
22.4,56.3,2.1,15.5
