O3,RH,WSP,TMP
29.7,54.1,1.9,14.9
24.4,52.6,1.6,14.7
25.4,48.5,1.6,15.7
19.9,53.6,1.9,14.3
26.9,50.1,1.5,15.2
25.2,47.5,1.9,15.3
25.0,46.3,1.8,14.3
20.1,50.5,2.1,12.7
17.6,52.0,1.8,11.6
16.8,38.1,1.6,13.5
27.3,43.2,1.6,14.1
22.8,40.2,2.1,14.1
21.2,41.6,1.7,13.6
19.6,57.2,2.1,11.2
18.8,49.9,2.2,12.1
23.5,39.4,1.7,13.2
22.5,38.2,1.8,13.2
28.9,44.5,2.0,13.5
30.1,49.3,2.0,13.3
25.1,45.1,1.7,13.9
21.5,44.1,2.2,14.5
24.6,40.6,1.8,15.1
27.9,38.3,1.8,15.1
27.8,38.8,1.8,14.4
28.3,46.0,1.9,13.8
27.4,48.9,1.8,14.1
27.3,45.2,2.1,15.2
21.4,43.8,2.5,15.1
21.8,46.9,2.5,12.6
17.4,57.2,2.4,11.2
22.0,45.3,2.0,10.6
20.9,47.6,1.5,13.2
25.2,46.0,1.5,15.0
23.5,41.4,1.9,16.1
22.5,44.3,0.6764621004739753,15.5
26.4,47.9,2.0,15.5
27.5,48.3,1.9,14.6
31.2,42.9,1.6,16.2
29.3,38.1,2.1,15.4
27.1,36.2,2.0,15.6
25.7,38.0,2.5,14.5
16.4,51.1,2.5,13.4
21.5,49.9,1.9,13.6
26.2,41.6,2.0,15.2
26.1,40.3,2.0,15.5
24.8,44.7,2.1,14.6
29.9,43.7,1.9,15.6
27.6,36.7,2.1,16.1
29.4,34.7,2.7,16.3
25.3,32.2,2.7,16.2
27.6,34.4,2.0,15.3
26.2,38.3,2.1,16.0
27.0,44.2,2.3,16.6
25.6,42.2,1.7,16.2
33.4,42.7,1.9,16.9
28.7,42.3,1.9,17.0
30.7,35.6,2.0,17.1
29.6,42.5,2.1,16.1
31.2,40.8,1.9,17.5
28.0,46.2,0.6764621004739753,17.0
30.0,48.0,0.6764621004739753,16.9
22.0,46.4,0.6764621004739753,17.6
24.5,49.4,0.6764621004739753,17.3
18.9,54.1,0.6764621004739753,16.2
18.9,63.8,0.6764621004739753,14.7
27.8,56.4,0.6764621004739753,15.8
26.0,54.5,0.6764621004739753,15.4
25.1,47.6,0.6764621004739753,16.7
26.3,45.0,0.6764621004739753,17.2
29.6,53.7,0.6764621004739753,16.3
25.4,56.4,0.6764621004739753,15.8
25.0,61.3,0.6764621004739753,14.8
32.4,52.8,0.6764621004739753,15.0
31.4,51.7,0.6764621004739753,15.0
29.7,53.5,0.6764621004739753,15.3
30.5,48.2,0.6764621004739753,15.8
26.7,55.0,0.6764621004739753,16.2
27.0,52.7,0.6764621004739753,16.4
25.1,49.1,0.6764621004739753,17.0
25.0,49.2,0.6764621004739753,16.9
29.0,49.0,0.6764621004739753,16.9
22.5,47.7,0.6764621004739753,17.0
19.2,45.7,0.6764621004739753,16.8
22.1,47.2,0.6764621004739753,15.7
19.6,47.1,0.6764621004739753,16.0
18.4,44.8,0.6764621004739753,17.5
17.8,47.2,0.6764621004739753,18.0
23.9,51.7,0.6764621004739753,17.6
25.4,49.2,0.6764621004739753,17.9
23.7,42.0,0.6764621004739753,18.4
25.9,38.6,0.6764621004739753,19.3
24.2,37.7,0.6764621004739753,19.1
23.0,36.5,0.6764621004739753,19.2
25.7,38.5,0.6764621004739753,19.2
