O3,RH,WSP,TMP
26.5,53.6,1.7,14.0
27.5,54.5,1.6,13.7
30.0,50.2,1.6,14.5
27.3,51.4,1.9,13.9
32.3,52.3,1.6,13.9
30.3,50.1,2.0,14.2
29.7,47.8,2.0,13.4
23.3,51.8,1.9,11.8
20.4,51.2,1.7,10.7
23.0,37.8,1.8,12.2
31.6,42.7,1.8,13.1
30.0,40.4,2.2,13.3
27.2,43.4,1.8,12.4
22.4,55.8,2.0,10.7
22.4,48.0,1.6079476097546226,11.3
26.2,40.9,1.5,11.9
29.0,37.1,1.7,12.2
29.1,44.6,2.1,12.5
31.2,49.3,1.9,12.4
26.3,48.5,1.6,12.6
25.7,46.8,1.6079476097546226,13.4
26.2,41.6,1.8,13.9
25.8,36.7,2.0,14.3
29.6,37.0,1.8,13.6
27.9,46.2,2.0,12.7
25.0,50.0,1.7,13.2
28.0,46.4,1.9,14.2
27.6,44.6,2.4,13.9
24.3,47.2,2.2,11.8
21.8,55.9,2.3,10.8
26.0,44.1,1.9,10.1
18.5,48.6,1.5,12.2
25.3,47.4,1.5,13.8
26.1,42.2,2.2,15.4
28.8,44.2,1.6079476097546226,14.8
31.7,46.3,1.8,15.1
30.8,47.2,1.7,14.2
29.9,44.5,1.7,15.1
31.2,39.4,2.0,14.6
33.5,37.5,1.8,15.0
30.1,37.5,2.4,14.3
21.4,48.6,2.0,13.2
28.0,49.5,2.0,12.9
28.2,42.4,1.6079476097546226,14.3
30.7,39.7,2.0,14.8
29.1,42.6,2.1,14.3
27.9,45.1,1.6079476097546226,14.7
28.0,37.5,2.2,15.2
27.3,40.0,1.6079476097546226,15.1
32.3,33.6,2.6,15.5
30.2,34.3,2.1,14.5
28.4,39.8,2.1,15.0
24.1,42.2,2.5,15.9
25.3,41.5,1.6,15.3
33.3,43.5,1.9,16.1
29.5,42.8,2.1,16.3
29.8,37.8,1.7,16.0
33.9,41.0,2.0,15.6
34.0,41.5,2.0,16.8
30.9,46.4,2.0,16.2
36.0,43.1,1.8,16.4
36.1,43.1,1.5,17.0
31.3,45.7,2.6,17.8
29.7,50.5,2.2,15.9
28.5,53.2,1.9,14.7
33.1,47.7,1.8,15.5
32.0,47.4,2.1,15.3
33.7,42.2,1.9,16.7
29.8,43.6,2.1,16.3
34.6,49.6,2.4,15.8
31.1,54.1,2.8,15.3
30.0,57.1,1.6079476097546226,14.7
20.0,55.1,1.6079476097546226,14.1
20.2,55.2,1.6079476097546226,14.5
20.9,57.7,1.6079476097546226,13.8
20.8,51.3,1.6079476097546226,14.5
20.0,58.5,1.6079476097546226,14.7
27.6,55.8,1.6079476097546226,15.0
27.5,51.4,1.6079476097546226,15.8
29.5,51.9,1.6079476097546226,15.7
32.8,52.3,1.6079476097546226,15.6
29.1,49.2,1.6079476097546226,15.8
