O3,RH,WSP,TMP
30.4,57.1,1.6,15.1
23.4,55.1,1.4,15.0
23.1,52.3,1.5,15.8
19.7,57.4,1.5,14.3
21.8,53.7,2.340089194353795,15.1
28.9,52.1,2.340089194353795,15.7
24.6,48.2,1.8,14.5
17.5,51.4,1.9,13.1
19.7,55.7,2.340089194353795,12.0
16.8,40.4,1.5,13.7
25.5,45.6,1.4,14.4
22.8,44.0,1.9,14.4
19.9,42.4,1.6,13.7
17.9,60.2,1.7,11.3
21.4,54.4,2.340089194353795,13.2
19.6,49.8,2.340089194353795,13.8
18.4,47.2,2.340089194353795,13.4
23.9,48.0,2.340089194353795,13.7
23.2,52.1,1.5,13.4
23.0,48.1,1.5,13.9
20.6,44.7,1.7,14.8
24.9,41.1,2.340089194353795,15.3
31.5,41.7,1.6,15.2
27.8,42.3,1.7,14.4
19.9,54.6,2.340089194353795,12.8
22.6,58.3,2.340089194353795,13.0
24.5,48.8,2.340089194353795,15.0
24.4,45.3,1.9,15.3
22.7,50.0,2.340089194353795,12.8
23.2,62.5,2.340089194353795,12.6
26.1,50.3,2.340089194353795,13.3
24.0,50.5,1.4,13.8
24.5,47.6,1.3,15.1
23.6,45.0,1.7,16.2
23.1,47.8,1.7,15.5
24.8,50.1,2.340089194353795,15.7
31.2,51.1,2.340089194353795,14.8
35.1,46.5,1.6,16.4
32.5,42.9,1.8,15.3
32.5,40.1,1.8,15.7
27.4,40.6,2.3,14.7
18.2,53.7,2.2,13.4
23.7,53.3,1.5,13.7
31.2,45.3,1.7,15.2
30.7,44.0,1.9,15.5
31.5,46.9,1.8,14.8
30.6,46.1,1.6,15.9
31.2,40.7,2.0,16.3
32.9,38.4,2.7,16.3
28.6,36.2,2.5,16.3
30.5,37.3,1.7,15.6
26.7,42.4,1.9,16.1
29.9,46.9,2.3,16.8
38.0,47.1,1.7,16.4
38.1,45.6,1.8,16.8
32.4,45.1,1.8,17.1
30.7,39.9,1.7,17.2
31.7,44.7,1.8,16.5
31.2,45.5,1.8,17.7
32.4,48.6,2.340089194353795,17.0
35.1,47.4,1.7,17.4
37.5,42.9,1.6,18.5
36.4,49.9,2.5,17.9
28.3,55.1,2.2,16.1
19.7,55.2,1.8,15.2
34.1,49.5,2.0,16.5
32.9,48.8,2.3,16.2
31.4,42.6,2.0,17.2
32.3,48.3,2.1,16.5
33.9,53.9,2.1,16.5
28.8,56.7,2.7,16.1
30.6,58.4,3.1,15.6
37.8,44.3,3.5,16.3
31.1,48.7,3.0,15.5
33.1,52.1,1.7,15.9
34.7,48.4,1.7,16.0
30.1,56.9,1.6,16.2
30.5,52.5,2.340089194353795,16.6
29.0,45.8,1.6,17.6
30.3,44.0,1.8,17.7
30.5,41.9,2.0,17.8
21.7,38.9,2.1,18.2
23.0,44.7,2.2,17.3
22.4,44.8,2.2,16.3
21.2,47.3,2.1,16.2
22.0,39.0,1.9,18.1
22.9,37.0,2.3,18.7
23.8,39.1,2.0,19.2
27.5,44.0,2.2,19.2
20.6,36.2,2.1,19.7
31.8,33.0,2.3,20.3
25.3,34.5,2.1,19.9
28.5,34.5,2.2,18.9
27.0,42.3,2.340089194353795,17.8
29.3,40.9,2.340089194353795,18.6
24.4,41.0,2.340089194353795,18.8
23.7,45.3,2.340089194353795,18.8
26.1,41.0,2.340089194353795,19.0
35.2,42.4,2.1,19.3
41.2,51.5,1.9,18.5
38.3,45.3,1.7,18.8
42.3,34.9,2.340089194353795,19.8
44.5,37.0,1.8,20.4
43.6,48.1,2.0,18.7
40.6,53.3,2.3,18.0
35.9,51.1,2.340089194353795,17.5
38.9,44.3,2.0,18.7
37.3,42.7,2.2,19.0
37.5,48.6,2.340089194353795,19.0
36.4,38.5,2.0,19.2
