O3,RH,WSP,TMP
28.1,53.3,1.6,14.7
20.0,52.1,2.1128950055343365,14.2
29.0,51.0,2.1128950055343365,16.4
23.6,52.2,1.4,14.4
26.4,49.4,1.3,15.0
27.9,44.8,1.4,15.1
25.4,45.7,2.1128950055343365,14.1
19.3,48.8,1.6,12.7
18.3,48.4,1.5,11.9
18.3,36.1,1.3,13.3
25.2,43.1,1.3,13.7
25.4,40.7,1.5,14.0
20.2,40.1,1.3,13.4
17.4,58.1,1.8,11.1
20.2,47.2,1.5,12.2
24.8,37.1,1.5,13.3
25.5,37.3,1.6,13.0
28.0,43.0,1.5,13.3
31.8,48.3,1.4,13.2
24.0,44.8,1.3,13.7
21.2,42.4,1.5,14.3
24.8,37.4,1.6,15.0
33.0,37.4,1.5,14.9
29.3,37.8,1.6,14.3
28.4,45.4,1.5,13.6
26.4,48.3,1.5,14.0
24.9,45.3,1.5,14.9
24.7,42.9,2.1128950055343365,14.6
22.2,46.4,1.7,12.4
18.9,56.5,2.0,11.2
23.4,45.3,1.7,10.7
23.1,46.9,1.4,13.1
24.7,44.3,1.3,14.8
25.2,40.8,1.5,15.8
25.6,42.8,1.6,15.4
30.9,45.9,1.6,15.7
34.9,47.3,1.6,14.6
38.8,41.5,1.5,16.1
33.8,39.7,1.6,15.3
34.5,35.2,1.8,15.6
29.2,37.9,1.8,14.5
17.0,49.8,2.0,13.3
23.8,49.0,1.5,13.4
31.5,40.3,1.6,15.0
32.5,39.3,1.6,15.4
31.2,43.1,1.8,14.8
34.6,42.2,1.7,15.6
31.9,35.8,2.0,16.0
36.4,33.0,2.6,16.3
30.7,30.2,2.4,16.3
34.4,31.9,1.6,15.4
33.6,36.5,1.6,15.9
31.3,41.8,2.0,16.6
37.3,40.7,1.5,16.1
41.2,40.4,1.6,16.9
31.5,39.9,1.7,17.0
29.0,34.9,1.6,16.9
32.4,40.4,1.6,16.3
37.6,40.3,1.5,17.3
31.8,46.1,2.1128950055343365,16.7
40.5,43.1,1.5,17.1
37.8,38.6,1.4,18.3
