O3,RH,WSP,TMP
28.3,58.2,1.7,14.1
22.8,58.0,1.2,14.1
22.3,56.6,1.4,15.0
13.7,56.9,1.4,14.0
22.4,57.5,1.001,14.5
22.6,56.6,1.5,14.3
22.3,56.7,1.7,13.8
17.8,58.0,1.2,14.3
17.8,56.9,1.4,14.5
17.4,57.6,1.2,13.9
20.3,57.9,1.4,14.2
19.4,58.0,1.3,14.1
19.3,57.2,1.3,14.2
15.8,57.3,1.5,14.3
19.0,58.5,1.5,14.0
23.1,56.9,1.4,14.1
22.0,57.2,1.2,14.0
24.9,57.4,1.4,13.5
24.7,58.2,1.2,14.7
21.2,57.9,1.4,14.6
19.9,58.6,1.4,14.0
22.4,58.2,1.4,14.7
28.4,58.1,1.3,14.3
27.9,57.5,1.6,14.8
29.7,57.4,1.3,14.9
26.6,59.0,1.1,14.1
24.8,58.5,1.4,14.1
23.4,58.2,1.7,14.1
20.9,57.4,1.6,13.9
18.2,56.7,1.3,14.3
22.3,57.5,1.3,13.9
21.1,58.8,1.6,14.6
24.0,57.3,1.2,14.6
23.7,58.3,1.5,14.3
23.0,57.9,1.1,13.8
22.8,58.4,1.1,14.0
30.0,57.1,1.4,14.3
34.6,57.1,1.7,14.0
32.5,57.0,1.3,14.1
27.4,57.7,1.6,14.3
27.0,57.5,1.3,13.9
18.3,56.8,1.3,14.4
21.3,56.7,1.5,13.9
29.1,57.6,1.5,15.1
28.7,57.5,1.2,14.2
28.1,57.3,1.4,14.3
32.0,58.3,1.4,14.9
30.1,57.9,1.4,15.0
29.5,57.6,1.3,14.2
24.1,57.7,1.6,14.3
21.8,57.5,1.4,14.6
21.2,57.7,1.5,14.2
21.0,57.0,1.2,14.6
25.3,57.6,1.3,14.6
26.9,57.8,1.7,14.6
22.5,56.8,1.6,14.9
21.3,57.6,1.9,14.2
23.9,57.5,1.4,13.8
26.2,57.8,1.3,14.9
22.4,57.8,1.4,14.9
26.8,57.9,1.3,14.3
34.2,58.2,1.4,14.1
38.7,56.6,1.5,14.3
26.6,58.5,1.3,14.3
19.7,58.3,1.4,14.1
29.6,58.2,1.4,13.8
