O3,RH,WSP,TMP
42.1,55.2,2.4,12.9
36.7,53.3,2.0,12.8
41.5,49.3,2.1,13.9
28.2,50.1,1.8,13.0
33.4,45.6,2.3,13.7
42.7,42.4,3.0,13.8
42.0,42.9,2.6,12.5
36.6,47.0,2.8,11.3
31.2,41.7,2.0,10.5
30.3,31.9,2.5414889761174333,11.8
31.5,42.5,2.5414889761174333,12.0
35.3,43.2,2.5414889761174333,11.6
34.6,35.6,2.6,12.1
20.6,57.9,2.0,9.5
34.1,40.4,2.7,11.0
41.6,29.9,2.4,12.4
38.4,31.6,2.5,12.2
40.9,41.0,2.4,12.1
44.5,47.8,2.3,12.2
36.4,43.0,2.4,12.6
26.8,38.2,2.9,13.4
36.2,31.4,2.6,14.4
45.3,33.3,2.5,14.0
37.7,34.6,2.4,13.3
46.5,44.5,2.5,13.0
41.4,48.3,1.9,13.1
36.7,44.8,2.3,13.8
37.1,38.3,2.8,13.9
31.8,46.2,2.6,11.3
21.3,61.6,2.3,9.9
31.9,44.8,2.1,10.0
35.4,46.9,2.1,12.3
39.5,38.1,2.6,14.4
32.8,39.4,3.0,14.7
34.1,43.4,2.1,14.2
33.8,44.7,2.7,14.5
31.2,48.8,2.2,13.5
47.8,39.8,2.5,14.9
42.8,36.5,2.7,14.1
44.4,33.9,2.4,14.4
34.3,38.8,2.5,13.1
20.6,51.3,2.5,11.9
30.8,50.2,2.2,11.9
40.7,38.9,2.5,13.8
43.7,38.2,2.6,14.0
39.3,42.9,2.8,13.3
47.0,41.3,2.2,14.2
42.9,33.8,3.0,14.7
46.1,33.3,3.3,14.8
41.2,29.0,3.4,14.8
49.4,28.6,2.6,14.0
42.6,34.5,2.8,14.6
37.8,42.0,2.8,14.8
49.8,40.6,2.5,14.9
52.7,42.3,2.1,15.6
43.2,40.4,2.5,15.8
43.8,32.5,2.9,16.0
44.7,40.6,2.5414889761174333,15.4
50.2,40.6,2.7,16.3
39.9,47.6,2.7,15.7
