O3,RH,WSP,TMP
36.7,55.3,1.4536009045594491,14.1
30.2,52.6,1.4536009045594491,14.1
32.9,50.4,1.4536009045594491,14.8
23.9,49.3,1.4536009045594491,14.7
29.3,47.6,1.4536009045594491,15.3
32.9,49.7,1.4536009045594491,15.2
33.9,49.4,1.4536009045594491,14.5
27.8,54.8,1.4536009045594491,13.2
20.8,54.9,1.4536009045594491,12.3
23.8,43.5,1.4536009045594491,13.2
29.6,46.7,1.4536009045594491,14.2
31.8,48.9,1.4536009045594491,14.2
25.4,43.6,1.4536009045594491,13.8
19.3,50.8,1.4536009045594491,12.9
25.5,47.9,1.4536009045594491,12.6
31.4,45.5,1.4536009045594491,13.4
30.1,48.0,1.4536009045594491,13.6
33.4,53.5,1.4536009045594491,13.6
32.8,53.7,1.4536009045594491,13.7
27.3,48.2,1.4536009045594491,14.2
24.7,46.5,1.4536009045594491,14.5
29.5,45.4,1.4536009045594491,15.0
38.4,44.8,1.4536009045594491,15.1
34.9,46.8,1.4536009045594491,14.9
34.6,54.6,1.4536009045594491,14.2
35.1,55.0,1.4536009045594491,14.0
28.2,53.5,1.4536009045594491,14.6
31.5,48.8,1.4536009045594491,15.1
26.0,51.6,1.4536009045594491,14.2
18.1,63.6,1.4536009045594491,12.5
25.1,55.3,1.4536009045594491,11.3
23.2,54.2,1.4536009045594491,13.0
26.6,46.6,1.4536009045594491,13.8
28.6,40.3,2.0,15.3
28.8,44.1,1.8,14.8
35.4,45.7,1.7,15.3
38.4,47.9,1.6,14.2
47.9,41.4,1.7,15.4
41.4,39.9,2.0,14.7
36.1,34.8,1.9,15.1
25.9,41.6,1.4536009045594491,13.4
21.7,49.9,2.1,12.9
26.3,48.3,1.7,12.9
34.8,39.6,1.8,14.6
38.0,39.0,1.9,14.9
34.1,42.0,1.9,14.4
38.6,41.5,1.7,15.0
32.2,34.8,1.9,15.4
38.4,34.5,2.2,15.6
35.0,30.7,1.4536009045594491,15.7
42.4,30.3,1.7,14.8
38.7,34.9,1.8,15.3
34.1,40.4,2.0,16.0
43.5,40.7,1.7,15.5
45.9,42.6,1.8,16.2
37.3,40.8,1.9,16.3
38.6,34.2,2.0,16.4
40.9,40.8,1.7,16.0
45.3,41.3,1.8,16.6
37.0,46.5,1.4536009045594491,16.4
41.9,44.6,1.6,16.6
45.3,40.1,1.4536009045594491,17.7
43.8,47.4,1.4536009045594491,17.1
32.9,50.0,1.4536009045594491,15.7
26.3,53.9,1.4536009045594491,14.4
38.1,47.5,1.8,15.4
36.7,45.3,2.0,15.5
40.4,39.2,1.8,16.6
37.5,43.1,2.0,16.0
39.3,49.0,2.0,15.7
27.7,56.0,1.4536009045594491,14.4
27.7,59.6,1.4536009045594491,13.5
36.2,51.3,1.4536009045594491,13.6
41.6,45.8,1.4536009045594491,14.7
34.4,47.8,1.4536009045594491,15.2
39.9,47.4,1.4536009045594491,15.1
37.7,50.1,1.7,15.8
29.0,53.4,1.4536009045594491,15.3
25.3,43.9,1.4536009045594491,16.5
29.2,37.7,1.9,17.1
32.2,37.1,2.1,17.1
33.4,33.2,2.1,17.3
33.4,38.5,2.2,16.5
31.2,44.9,2.5,15.1
28.2,41.8,2.0,15.7
29.7,34.9,1.9,17.1
28.6,36.6,1.4536009045594491,17.1
33.9,37.6,1.4536009045594491,18.1
36.9,40.0,1.4536009045594491,18.2
36.9,34.4,2.0,18.4
32.0,29.6,1.4536009045594491,19.3
32.0,31.5,2.3,18.7
33.6,32.7,2.1,17.7
31.5,31.6,1.8,17.9
32.3,26.0,2.2,18.9
36.8,28.0,1.4536009045594491,18.9
32.5,28.1,2.0,18.7
31.2,35.7,2.0,18.1
42.8,39.0,2.0,18.4
47.3,48.7,1.4536009045594491,17.4
42.2,45.3,1.9,17.4
47.4,31.7,1.9,18.7
47.7,34.2,1.9,18.9
40.8,42.4,1.8,17.6
40.7,48.8,1.9,17.2
43.9,46.2,2.0,16.7
44.6,40.6,2.1,17.5
35.9,41.8,2.1,17.4
41.6,38.7,2.0,17.9
41.1,34.8,1.8,18.1
42.7,38.1,2.3,17.7
