O3,RH,WSP,TMP
31.5,73.8,2.1,7.0
26.3,71.5,2.3,7.3
30.7,71.2,2.1,7.6
25.8,68.0,2.5,7.6
28.8,67.4,2.7,7.8
31.0,70.9,2.6,7.1
30.9,68.0,2.6,6.4
27.5,70.7,2.7,5.3
24.0,58.4,2.2,4.5
25.3,52.8,3.0,5.2
34.7,66.0,3.3,5.9
32.7,62.3,2.5,6.1
28.2,62.6,2.5,5.1
26.0,65.5,2.7,5.8
29.1,63.6,3.6,5.0
32.9,50.1,3.1,5.5
35.9,52.4,2.5,5.7
34.4,62.4,2.8,5.7
34.3,69.5,2.5,5.8
30.1,66.7,2.9,6.0
28.6,67.3,3.3,6.3
28.6,60.6,2.7,6.7
37.0,55.8,2.2,6.4
34.7,56.6,2.5,6.1
40.7,66.3,2.7,6.7
37.2,69.7,2.5,7.3
33.8,65.4,2.8,7.8
30.0,64.7,0.4430582004926865,7.1
28.5,65.7,3.4,5.9
24.9,71.3,2.5,5.4
29.5,59.7,2.4,4.7
29.6,66.9,2.5,6.8
30.1,68.6,2.5,6.9
29.2,63.1,2.6,7.9
28.4,63.2,2.1,7.6
32.9,66.1,1.9,8.0
28.3,68.2,2.0,7.7
33.7,65.6,2.5,7.4
32.7,58.9,2.3,7.2
33.2,52.9,2.0,8.2
31.5,53.2,2.2,7.9
22.5,64.0,2.1,7.1
24.9,70.7,2.9,5.8
32.9,59.6,2.7,7.4
33.2,57.1,2.5,7.6
34.3,59.0,2.6,7.6
35.7,62.8,2.7,8.0
34.3,54.9,2.8,7.9
37.0,58.4,4.2,8.4
28.5,52.0,3.4,7.9
32.9,52.1,3.0,7.2
31.3,59.9,3.1,7.7
31.6,63.5,3.6,9.0
32.6,66.1,2.4,7.8
31.9,67.2,2.3,8.3
32.8,64.1,2.8,8.8
28.2,57.8,2.8,8.6
32.1,61.9,2.6,8.8
31.9,62.7,2.6,9.2
28.7,66.7,2.3,9.4
35.5,67.0,2.5,9.3
23.4,66.6,2.5,9.3
26.9,65.9,2.0,10.9
29.4,65.1,2.3,9.8
20.9,71.3,0.4430582004926865,8.4
28.7,68.0,2.3,9.2
30.5,67.5,2.3,8.8
34.0,64.0,2.2,9.5
37.2,60.7,0.4430582004926865,11.0
33.4,67.1,0.4430582004926865,11.9
30.1,67.8,0.4430582004926865,11.6
29.0,62.2,0.4430582004926865,9.9
27.9,59.7,0.4430582004926865,11.0
25.8,60.0,0.4430582004926865,11.1
24.3,62.9,0.4430582004926865,11.2
25.7,61.5,0.4430582004926865,10.1
23.4,66.2,0.4430582004926865,10.1
25.7,63.9,0.4430582004926865,9.4
32.2,59.8,0.4430582004926865,10.1
31.7,58.3,0.4430582004926865,9.6
33.6,58.9,0.4430582004926865,11.6
28.1,59.1,0.4430582004926865,11.9
29.2,53.8,0.4430582004926865,12.1
24.4,61.3,0.4430582004926865,9.9
23.8,57.6,0.4430582004926865,9.2
32.8,60.9,0.4430582004926865,9.1
28.7,52.6,0.4430582004926865,10.6
27.9,59.1,0.4430582004926865,11.3
28.4,61.0,0.4430582004926865,11.4
27.4,54.0,0.4430582004926865,11.7
32.4,52.2,0.4430582004926865,13.4
30.5,51.8,0.4430582004926865,13.1
29.6,49.8,0.4430582004926865,13.2
32.0,52.4,0.4430582004926865,13.4
31.3,49.3,0.4430582004926865,13.8
26.0,50.0,0.4430582004926865,13.0
25.6,44.9,0.4430582004926865,12.9
26.0,45.9,0.4430582004926865,13.5
34.5,51.6,0.4430582004926865,13.4
37.9,59.6,0.4430582004926865,13.6
40.5,56.4,0.4430582004926865,13.7
40.7,52.1,0.4430582004926865,14.2
37.8,58.3,0.4430582004926865,13.7
36.7,58.0,0.4430582004926865,14.0
39.0,57.2,0.4430582004926865,14.3
31.1,61.4,0.4430582004926865,12.7
33.3,58.0,0.4430582004926865,12.7
30.8,64.8,2.8,10.3
32.4,60.7,2.8,10.4
32.6,55.2,2.6,11.7
32.0,56.7,2.6,11.2
32.2,57.6,2.6,10.7
33.4,56.6,2.5,10.5
34.5,57.3,2.3,11.2
34.4,62.3,2.4,10.8
34.1,68.1,2.6,11.3
35.6,67.7,2.4,11.3
34.3,72.9,2.2,10.3
32.1,73.7,3.0,10.7
33.2,66.0,3.2,10.8
34.4,60.1,2.9,10.5
34.1,59.2,3.6,11.4
37.8,55.5,3.6,12.6
37.2,54.4,4.5,12.6
32.7,51.5,3.8,12.2
37.5,49.6,2.8,11.6
41.4,55.8,2.9,11.7
34.7,58.0,0.4430582004926865,12.2
43.7,67.2,2.5,12.2
45.7,74.6,2.3,11.4
40.5,73.2,2.1,11.8
41.4,69.2,0.4430582004926865,11.5
40.4,68.0,0.4430582004926865,11.9
40.0,70.7,0.4430582004926865,12.0
42.9,65.1,2.1,11.8
53.2,68.9,2.4,12.2
51.5,69.8,2.7,12.6
52.3,71.2,2.3,12.8
44.0,66.0,0.4430582004926865,12.9
30.9,65.2,0.4430582004926865,12.3
40.9,68.7,2.1,12.7
35.7,64.8,0.4430582004926865,13.1
34.3,57.9,0.4430582004926865,13.1
38.8,63.7,0.4430582004926865,13.4
39.6,68.2,0.4430582004926865,13.2
28.5,68.4,0.4430582004926865,12.7
21.4,67.8,0.4430582004926865,11.1
21.5,62.3,0.4430582004926865,11.8
23.2,62.8,0.4430582004926865,11.8
21.8,59.8,0.4430582004926865,13.3
26.4,60.4,0.4430582004926865,14.0
35.6,60.7,0.4430582004926865,14.8
44.1,62.2,0.4430582004926865,15.4
45.8,67.9,2.3,14.3
42.5,62.9,2.4,14.6
41.0,65.7,2.4,14.4
35.4,64.6,0.4430582004926865,14.6
32.0,67.7,2.3,12.4
41.0,71.6,2.3,13.4
44.1,73.0,0.4430582004926865,12.9
41.6,72.8,2.3,12.3
43.2,69.1,2.3,12.5
45.3,67.9,2.3,12.6
50.7,75.9,2.3,12.0
42.7,76.7,0.4430582004926865,12.2
45.6,74.5,1.9,12.5
43.0,77.0,2.1,11.8
40.9,77.7,0.4430582004926865,12.2
42.2,77.7,0.4430582004926865,12.7
31.8,79.6,0.4430582004926865,12.3
32.7,81.0,0.4430582004926865,11.8
24.9,86.0,0.4430582004926865,11.9
23.8,80.0,0.4430582004926865,11.3
30.3,70.4,0.4430582004926865,12.2
28.2,70.2,0.4430582004926865,12.1
27.4,67.0,0.4430582004926865,11.6
27.4,67.1,0.4430582004926865,11.8
29.3,63.7,0.4430582004926865,11.4
25.8,65.3,0.4430582004926865,11.0
30.8,73.3,0.4430582004926865,11.7
31.9,74.0,0.4430582004926865,12.1
41.6,75.7,0.4430582004926865,11.9
33.1,80.5,0.4430582004926865,11.2
27.7,78.1,0.4430582004926865,11.7
24.8,82.3,0.4430582004926865,11.5
24.6,78.3,0.4430582004926865,12.0
27.5,75.3,0.4430582004926865,11.8
30.6,75.1,0.4430582004926865,11.5
36.8,78.0,0.4430582004926865,11.6
33.2,74.8,0.4430582004926865,11.7
30.6,80.6,0.4430582004926865,11.4
29.3,77.7,0.4430582004926865,12.0
32.3,76.1,0.4430582004926865,12.0
34.8,76.9,0.4430582004926865,11.6
30.0,77.2,0.4430582004926865,11.3
33.6,73.0,0.4430582004926865,11.6
26.6,72.9,0.4430582004926865,12.0
27.7,66.6,0.4430582004926865,13.9
27.1,65.1,0.4430582004926865,14.0
27.9,72.7,0.4430582004926865,11.8
25.0,75.8,0.4430582004926865,11.2
24.4,73.4,0.4430582004926865,11.5
23.9,77.7,0.4430582004926865,10.5
32.1,79.4,2.0,11.0
30.5,73.1,2.5,10.9
35.1,69.6,0.4430582004926865,13.3
26.3,67.0,0.4430582004926865,12.3
29.3,60.4,0.4430582004926865,11.8
26.0,65.9,0.4430582004926865,11.4
26.0,81.2,0.4430582004926865,10.8
32.4,75.3,0.4430582004926865,11.5
35.2,78.2,2.1,11.4
32.3,76.7,2.2,11.7
29.5,77.4,2.5,11.7
30.2,75.7,2.4,11.4
28.9,70.9,0.4430582004926865,11.9
27.1,75.5,2.1,11.2
38.5,75.3,2.4,11.6
36.7,73.2,2.3,11.4
35.8,74.9,2.1,11.9
33.5,73.7,2.0,11.7
33.5,74.7,0.4430582004926865,11.8
25.1,64.9,0.4430582004926865,11.6
27.4,74.5,0.4430582004926865,11.2
24.0,78.4,0.4430582004926865,10.8
27.9,80.0,0.4430582004926865,11.4
28.4,80.6,2.3,11.9
23.6,82.1,2.9,11.2
30.8,80.0,0.4430582004926865,12.0
34.4,76.1,3.0,12.0
27.3,84.8,2.7,11.1
29.9,81.5,0.4430582004926865,11.5
28.5,80.1,2.6,11.4
25.3,74.0,0.4430582004926865,11.7
29.2,74.6,0.4430582004926865,11.0
32.5,73.8,2.4,11.9
40.0,76.6,2.2,12.1
31.3,75.3,2.6,11.9
37.3,78.5,0.4430582004926865,11.7
35.6,78.4,0.4430582004926865,11.9
37.1,78.1,2.4,12.4
33.1,78.5,2.2,11.7
30.5,82.1,2.2,11.7
30.0,79.5,2.1,11.9
30.9,80.3,2.0,11.4
30.8,81.7,2.3,10.9
31.0,80.6,1.9,11.3
34.4,81.3,2.0,11.2
27.4,76.6,0.4430582004926865,12.8
22.2,64.7,0.4430582004926865,12.0
21.5,68.8,0.4430582004926865,11.2
22.7,68.0,0.4430582004926865,11.4
25.8,67.4,0.4430582004926865,11.5
24.7,72.4,0.4430582004926865,11.0
29.0,72.7,0.4430582004926865,11.3
30.8,76.5,0.4430582004926865,11.6
30.0,77.2,0.4430582004926865,11.8
30.1,76.5,0.4430582004926865,11.9
24.2,75.8,0.4430582004926865,11.8
21.6,69.1,0.4430582004926865,13.5
28.3,67.9,0.4430582004926865,13.7
32.8,67.0,0.4430582004926865,13.5
34.0,65.2,0.4430582004926865,13.5
31.0,66.1,0.4430582004926865,13.5
31.4,63.8,0.4430582004926865,13.9
28.9,67.8,0.4430582004926865,13.8
30.6,67.3,0.4430582004926865,14.0
28.1,60.3,0.4430582004926865,14.3
30.6,64.9,0.4430582004926865,12.2
29.6,65.3,0.4430582004926865,11.7
26.0,69.5,0.4430582004926865,11.2
26.3,68.4,0.4430582004926865,11.4
30.9,65.9,0.4430582004926865,11.8
27.6,67.4,0.4430582004926865,13.9
23.9,66.3,0.4430582004926865,13.8
24.4,68.8,0.4430582004926865,13.3
24.0,69.4,0.4430582004926865,13.2
25.5,66.9,0.4430582004926865,13.4
23.6,69.7,0.4430582004926865,12.9
31.0,68.7,0.4430582004926865,13.3
28.6,68.5,0.4430582004926865,13.7
24.6,68.7,0.4430582004926865,13.8
23.2,70.9,0.4430582004926865,13.4
21.2,71.6,0.4430582004926865,13.3
22.6,70.1,0.4430582004926865,13.7
23.1,68.8,0.4430582004926865,13.3
26.3,68.9,0.4430582004926865,11.3
28.5,67.5,0.4430582004926865,11.5
29.6,66.8,0.4430582004926865,11.8
29.4,68.3,0.4430582004926865,11.8
30.2,64.7,0.4430582004926865,11.7
27.4,63.9,0.4430582004926865,10.8
26.5,69.9,2.3,11.4
24.4,70.8,0.4430582004926865,11.2
24.0,74.1,2.2,11.1
29.4,74.5,2.2,10.5
26.3,74.4,1.8,10.7
25.5,74.7,1.9,11.2
24.3,74.2,2.3,11.5
26.7,71.3,2.1,11.1
31.7,73.8,0.4430582004926865,13.0
27.4,72.5,0.4430582004926865,12.4
26.0,72.4,0.4430582004926865,12.6
28.5,72.4,0.4430582004926865,13.2
32.3,69.6,0.4430582004926865,13.1
29.3,65.9,0.4430582004926865,13.0
29.9,64.6,2.0,10.8
25.3,67.9,3.2,10.3
23.7,73.1,2.8,10.2
28.2,73.6,2.7,10.1
35.4,71.2,0.4430582004926865,10.2
32.5,68.5,0.4430582004926865,12.2
32.9,64.2,0.4430582004926865,12.2
27.9,71.7,0.4430582004926865,11.1
29.7,72.1,0.4430582004926865,11.2
30.3,70.6,0.4430582004926865,11.9
28.4,72.6,0.4430582004926865,12.4
29.9,71.7,0.4430582004926865,13.1
30.0,74.8,0.4430582004926865,13.2
25.3,76.4,2.2,12.9
21.0,76.6,1.9,12.1
22.6,76.7,2.8,12.2
21.0,76.6,0.4430582004926865,11.9
22.6,75.4,0.4430582004926865,13.3
29.1,71.2,0.4430582004926865,12.4
27.3,68.4,1.9,12.4
30.0,77.7,1.7,11.6
27.4,83.9,1.8,12.4
27.8,83.2,1.7,12.4
24.2,79.5,2.2,12.5
24.9,77.1,2.5,12.2
16.0,82.7,1.8,11.8
24.0,73.2,2.1,11.9
25.3,71.0,2.0,11.6
26.2,73.8,2.3,11.2
24.8,58.7,0.4430582004926865,12.3
31.9,60.3,0.4430582004926865,12.7
27.5,72.4,0.4430582004926865,10.7
30.4,73.0,2.4,10.7
29.5,69.2,2.2,10.6
33.9,68.4,2.0,9.8
28.5,64.2,0.4430582004926865,9.6
32.2,62.3,0.4430582004926865,10.4
26.1,57.7,0.4430582004926865,9.9
